,00:0f:e2:a1:96:60,06:14:4b:65:38:a6,06:1b:b1:20:a4:35,06:1b:b1:22:36:17,06:1b:b1:22:3b:72,06:1b:b1:22:3b:7a,06:1b:b1:22:3f:ca,06:1b:b1:22:43:2d,06:1b:b1:22:43:54,06:1b:b1:22:43:65,06:1b:b1:22:43:e6,06:1b:b1:22:44:a9,0e:14:4b:65:38:a6,0e:1b:b1:20:a4:35,0e:1b:b1:22:34:2a,0e:1b:b1:22:36:17,0e:1b:b1:22:3b:72,0e:1b:b1:22:3b:7a,0e:1b:b1:22:3f:ca,0e:1b:b1:22:43:2d,0e:1b:b1:22:43:54,0e:1b:b1:22:43:65,0e:1b:b1:22:43:e6,0e:1b:b1:22:44:a9,14:e6:e4:38:16:8c,14:e6:e4:70:1c:60,14:e6:e4:70:ad:a2,20:dc:e6:bc:7e:8c,38:83:45:69:eb:a8,8c:21:0a:37:50:7a,xLabel,yLabel,locaLabel,RoomLabel
159,-76.0,-74.2,-60.8,-66.2,-46.6,-42.6,-60.8,-65.0,-62.2,-69.6,-65.2,-58.6,-74.2,-61.4,-75.0,-66.8,-46.6,-42.8,-60.8,-65.2,-62.6,-69.4,-65.0,-59.4,-56.8,-64.2,-33.0,-90.0,-66.0,-62.6,19.38,19.6,75.0,10.0
160,-74.0,-73.0,-63.8,-61.2,-42.8,-39.2,-60.0,-63.6,-60.0,-76.8,-67.0,-57.2,-73.0,-60.4,-73.8,-61.2,-42.4,-39.4,-60.2,-63.6,-59.8,-75.0,-67.2,-57.0,-60.2,-61.4,-23.6,-73.0,-66.75,-65.6,19.38,20.2,76.0,10.0
161,-74.8,-73.0,-64.2,-57.8,-47.2,-42.8,-58.6,-69.4,-65.2,-78.0,-70.8,-63.0,-73.0,-63.6,-73.0,-57.6,-46.8,-40.6,-58.4,-69.4,-64.2,-75.0,-71.6,-63.2,-62.2,-63.0,-35.8,-75.5,-66.0,-66.0,19.38,20.8,77.0,10.0
162,-80.8,-86.0,-65.2,-58.8,-49.2,-43.8,-64.8,-70.2,-65.4,-75.6,-70.6,-60.0,-88.0,-64.8,-80.4,-58.8,-49.2,-44.0,-64.4,-69.6,-65.6,-77.6,-71.0,-60.6,-67.0,-57.0,-35.6,-72.5,-77.0,-65.0,19.98,21.4,79.0,10.0
163,-71.8,-74.6,-62.0,-67.0,-55.2,-44.4,-65.8,-75.6,-65.6,-66.8,-59.6,-53.0,-74.6,-62.4,-76.0,-68.2,-55.2,-44.6,-66.2,-74.4,-66.0,-66.8,-60.2,-53.2,-59.2,-67.0,-46.2,-67.2,-74.8,-63.6,19.98,12.4,94.0,10.0
164,-90.0,-79.0,-63.0,-72.8,-56.8,-50.2,-63.2,-73.6,-65.8,-68.0,-66.8,-52.4,-81.4,-65.4,-82.0,-72.6,-56.4,-50.0,-63.2,-74.2,-66.0,-67.8,-67.0,-52.0,-41.6,-74.0,-49.0,-65.8,-76.5,-63.0,19.98,11.2,96.0,10.0
165,-72.0,-72.0,-61.4,-62.4,-53.2,-43.4,-68.0,-73.4,-60.2,-70.4,-58.8,-57.8,-67.0,-62.0,-76.0,-62.4,-53.0,-42.4,-67.8,-73.4,-60.2,-70.6,-58.8,-57.6,-54.4,-69.4,-46.2,-65.0,-76.4,-66.0,19.98,13.0,93.0,10.0
166,-69.4,-68.0,-59.4,-68.4,-53.6,-40.8,-64.4,-72.4,-57.8,-70.2,-52.0,-54.0,-68.8,-60.0,-78.8,-68.4,-53.6,-41.8,-64.4,-72.0,-57.8,-70.2,-52.0,-53.8,-48.8,-66.2,-52.2,-67.4,-76.0,-66.6,19.98,13.6,92.0,10.0
167,-69.4,-72.8,-62.0,-67.2,-54.6,-42.2,-63.6,-71.4,-57.4,-68.8,-47.0,-54.6,-71.6,-61.6,-75.0,-66.8,-54.8,-42.0,-63.6,-72.4,-57.2,-68.8,-47.4,-54.2,-53.0,-64.6,-54.4,-67.0,-78.0,-67.75,19.98,14.2,91.0,10.0
168,-73.2,-71.2,-59.2,-66.6,-53.0,-43.4,-62.8,-72.8,-56.0,-67.8,-50.8,-54.8,-70.6,-57.6,-75.6,-66.4,-52.8,-42.2,-63.2,-74.2,-56.6,-68.2,-50.8,-54.0,-56.2,-63.4,-47.8,-68.2,-72.0,-66.2,19.98,14.8,90.0,10.0
169,-72.0,-79.0,-57.6,-68.8,-44.0,-39.6,-59.6,-67.4,-51.6,-69.2,-58.6,-55.2,-73.2,-57.8,-77.0,-68.4,-43.8,-39.2,-59.8,-68.4,-51.2,-68.4,-58.2,-55.0,-62.4,-68.0,-48.0,-70.0,-80.6,-67.8,19.98,15.4,89.0,10.0
170,-71.33333333333333,-79.0,-63.2,-65.6,-46.0,-36.6,-63.4,-66.8,-55.0,-75.4,-57.6,-61.0,-70.0,-63.4,-77.0,-65.6,-46.0,-37.8,-63.4,-67.4,-55.2,-73.8,-57.6,-60.4,-54.0,-66.0,-46.0,-72.0,-80.0,-66.6,19.98,16.0,88.0,10.0
