id,position1,position2,position3,position4,position5,position6,position7,position8,position9,position10,position11,position12,position13,position14,position15,position16,position17,position18,position19,position20,position21,position22,position23,position24,position25,position26,position27,position28,position29,position30,xlabel,ylabel
36,-74.6,-84.2,-68.6,-54.2,-53.8,-45.8,-51.6,-65.4,-66.4,-79.6,-65.8,-64,-84.2,-68.4,-77,-54.4,-54,-44.2,-51.6,-65.6,-66.6,-77.4,-65.8,-63.6,-62.2,-56.2,-42.4,-73.25,-69,-67,16.38,21.4
37,-66.6,-69.4,-59.6,-68.4,-52.6,-38.6,-60.6,-75,-68.6,-70,-52.4,-54,-68.8,-60,-75.8,-69,-52.6,-38.8,-60.6,-75.4,-67.8,-70.6,-52.6,-54.2,-53.2,-70.8,-51.4,-67.4,-69.75,-67.2,16.38,12.4
38,-73.4,-71.4,-60.4,-69,-58.4,-42.8,-62,-71.6,-61.8,-69,-61.4,-61.2,-70,-60.2,-75,-69.2,-58.2,-43.4,-62,-72.2,-62.2,-69.8,-61.4,-60.8,-53,-64.4,-47.6,-67.2,-72,-58,16.38,11.2
39,-71.6,-66.4,-63,-63.4,-54.2,-36.2,-62.8,-75.4,-60.2,-67,-43.2,-58.8,-66.4,-63.4,-74.6,-63.2,-54.4,-36.4,-63.2,-73.6,-59.8,-66.4,-43.4,-58.6,-54.2,-70.2,-49.8,-73.8,-80,-65.2,16.38,13
40,-72.6,-66.2,-65.4,-64,-48.4,-39.6,-57.8,-66.2,-60,-69.6,-49,-57.2,-66.2,-65,-75.2,-64.6,-48.4,-38.6,-58,-66,-60,-68.6,-48.6,-57,-62.2,-63,-48.2,-68,-74.33333333,-63.6,16.38,13.6
41,-72.8,-67,-59.6,-62.8,-51.4,-36.8,-62.6,-67,-57.6,-72.4,-55,-59.6,-68.8,-61,-66.8,-62.8,-51.4,-37.8,-62.4,-66,-57.8,-74.2,-55.4,-59.6,-53.2,-68,-49,-67.6,-73,-61.6,16.38,14.2
42,-74.4,-67.6,-60.2,-60.2,-52.2,-40.6,-61.8,-67.4,-60,-75.6,-55.4,-59.4,-67.6,-60,-67.2,-60.4,-52.2,-41.4,-62.4,-66.4,-59.4,-74.8,-55.2,-59.4,-55,-68.5,-46.2,-68.6,-77.66666667,-60.8,16.38,14.8
43,-73,-70.8,-59.8,-62.2,-54,-41,-61.4,-68.6,-56.8,-77.6,-58.2,-60,-70.8,-60.2,-70.6,-62.8,-53.6,-39.8,-62,-67.2,-56.4,-73.8,-58,-60.8,-58.6,-63.8,-48.2,-69.4,-75.8,-61.6,16.38,15.4
44,-73.4,-73.8,-61,-58.2,-52.4,-38.2,-56.6,-72.2,-58.6,-76.4,-62,-57.4,-80,-62.4,-75.2,-58.2,-52.2,-38.2,-56.6,-70.8,-58.4,-76.6,-62,-58,-53.2,-64.8,-45.6,-70.8,-71.66666667,-58.4,16.38,16
45,-73,-75.2,-61.2,-63,-51.2,-40.4,-59.2,-69.4,-62.6,-73.6,-57.4,-59.2,-75.4,-62.8,-72.6,-63.4,-51.4,-40.6,-59.2,-69.6,-62.6,-74.4,-57.4,-58.8,-61.2,-65.4,-46,-71,-70.8,-66.6,16.38,16.6
